date,open,high,low,close,volume,change_percent,avg_vol_20d
2004-08-19,50.050049,52.082081,48.028027,50.220219,44659096,,
2004-08-20,50.555557,54.594597,50.300301,54.209209,22834343,7.942996027157911,
2004-08-23,55.430431,56.796799,54.579578,54.754753,18256126,1.006367755707327,
2004-08-24,55.675674,55.855858,51.836838,52.487488,15247337,-4.140763816430693,
2004-08-25,52.532532,54.054054,51.991993,53.053055,9188602,1.0775272765959132,
2004-08-26,52.527527,54.02903,52.382381,54.00901,7094898,1.8018849244402668,
2004-08-27,54.104103,54.364365,52.8979,53.128128,6211782,-1.6309908291227804,
2004-08-30,52.692692,52.797798,51.056057,51.056057,5196798,-3.9001393009744145,
2004-08-31,51.201202,51.906906,51.13113,51.236237,4917877,0.3529062183552423,
2004-09-01,51.401402,51.536537,49.884884,50.175175,9138253,-2.070921016311167,
2004-09-02,49.644646,51.236237,49.51952,50.805805,15118666,1.256856602891765,
2004-09-03,50.525524,50.920921,49.709709,50.055054,5152442,-1.477687441425246,
2004-09-07,50.555557,51.051052,49.854855,50.840839,5847547,1.569841478944367,
2004-09-08,50.420422,51.566566,50.300301,51.201202,4985609,0.7088061626992381,
2004-09-09,51.316315,51.406406,50.550552,51.206207,4061734,0.009775161137803856,
2004-09-10,50.850849,53.333332,50.700703,52.717716,8698892,2.9518081665373286,
2004-09-13,53.368366,54.259258,53.283283,53.803802,7844148,2.0601916820523813,
2004-09-14,53.778778,56.056057,53.448448,55.8008,10828960,3.711629895597346,
2004-09-15,55.335335,57.172173,55.155155,56.056057,10713076,0.45744326246219824,
2004-09-16,56.226227,57.957958,55.880882,57.042042,9266324,1.7589267828809207,11263125.5
2004-09-17,57.267265,58.803802,56.831833,58.803802,9472518,3.0885289835872243,9503796.6
2004-09-20,58.533535,60.860863,58.443443,59.739738,10628761,1.5916249769020174,8893517.5
2004-09-21,59.964966,60.270271,58.813812,58.978977,7228764,-1.2734588825950355,8342149.4
2004-09-22,58.758759,59.894894,58.463463,59.249249,7581211,0.45825142067146274,7958843.1
2004-09-23,59.479481,61.376377,58.568569,60.47047,8535656,2.0611586148543415,7926195.8
2004-09-24,60.530533,62.11211,59.939941,59.974976,9123467,-0.8193982947379164,8027624.25
2004-09-27,59.83984,60.5005,58.958958,59.18919,7066127,-1.3101897698133191,8070341.5
2004-09-28,60.710712,63.763763,60.165165,63.493492,16929054,7.272108302208569,8656954.3
2004-09-29,63.413414,67.577576,63.178177,65.605606,30516453,3.326504706970579,9936883.1
2004-09-30,65.015015,66.216217,64.564568,64.864868,13758028,-1.1290772925716008,10167871.85
2004-10-01,65.465462,67.187187,64.514519,66.356354,15124860,2.2993741388635858,10168181.55
2004-10-04,67.692696,68.503502,67.082085,67.597595,13022764,1.8705684161007374,10561697.65
2004-10-05,67.3974,69.334335,66.186188,69.254257,14973212,2.450770622830589,11017980.9
2004-10-06,68.843842,69.294296,68.068069,68.608612,13381405,-0.9322820400773368,11437770.7
2004-10-07,68.528526,70.01001,68.343346,69.494492,14115071,1.291208164945834,11940437.55
2004-10-08,69.429428,69.909912,68.578583,68.933937,11069519,-0.8066178827524806,12058968.9
2004-10-11,68.568565,69.499496,66.991989,67.697701,10472117,-1.7933634053137082,12190367.35
2004-10-12,67.287285,68.873871,66.766769,68.768768,11665523,1.5821320136115036,12232195.5
2004-10-13,71.731735,71.846848,70.110107,70.520523,19766214,2.5473118843716946,12684852.4
2004-10-14,70.575577,71.261261,69.34935,71.071068,10442147,0.7806876304646826,12743643.55
2004-10-15,72.537537,72.822823,71.046043,72.127129,13194792,1.4859225135043674,12929757.25
2004-10-18,71.671669,74.674675,70.675674,74.654655,14036350,3.504265364562076,13100136.7
2004-10-19,75.325325,76.276276,73.748749,74.044044,18109872,-0.8179141675760282,13644192.1
2004-10-20,74.089088,74.569572,69.869873,70.315315,22722655,-5.035825703955343,14401264.3
2004-10-21,72.27227,75.140137,70.880882,74.764763,29149821,6.327850483212649,15431972.55
2004-10-22,85.355354,90.175179,82.122124,86.3013,73710016,15.430446826936372,18661300.0
2004-10-25,88.288284,97.312309,86.361359,93.793793,65462872,8.681784631285971,21581137.25
2004-10-26,93.26326,96.416412,90.090088,90.99099,44569586,-2.988260641085272,22963163.85
2004-10-27,91.451454,94.854858,90.975975,93.078079,26686287,2.2937315002287573,22771655.55
2004-10-28,93.433434,97.29229,92.892891,96.74675,29663906,3.941498405870636,23566949.45
2004-10-29,99.544548,100.075073,95.395393,95.415413,42282675,-1.376105140482764,24924840.2
