date,open,high,low,close,volume,change_percent,avg_vol_20d
2023-12-21,140.77,142.03,140.473,141.8,18101500,1.5323,25136555.0
2023-12-22,142.13,143.25,142.055,142.72,18494700,0.6488,25619860.0
2023-12-26,142.98,143.945,142.5,142.82,11170100,0.0701,25284045.0
2023-12-27,142.83,143.32,141.051,141.44,17288400,-0.9663,25296120.0
2023-12-28,141.85,142.27,140.828,141.28,12192500,-0.1131,24855010.0
2023-12-29,140.68,141.435,139.9,140.93,14872700,-0.2477,24102970.0
2024-01-02,139.6,140.615,137.74,139.56,20071900,-0.9721,23893645.0
2024-01-03,138.6,141.09,138.43,140.36,18974300,0.5732,23636505.0
2024-01-04,139.85,140.635,138.01,138.04,18253300,-1.6529,23587415.0
2024-01-05,138.352,138.81,136.85,137.39,15433200,-0.4709,23541045.0
2024-01-08,138.0,140.64,137.88,140.53,17645300,2.2855,22502340.0
2024-01-09,140.06,142.8,139.79,142.56,19579700,1.4445,22331780.0
2024-01-10,142.52,144.525,142.46,143.8,16641900,0.8698,21938730.0
2024-01-11,144.895,146.66,142.215,143.67,17471100,-0.0904,21483085.0
2024-01-12,144.34,144.74,143.36,144.24,13995200,0.3967,20912120.0
2024-01-16,143.43,145.84,143.056,144.08,19198900,-0.1109,20391110.0
2024-01-17,142.91,143.41,140.51,142.89,17884500,-0.8259,18356865.0
2024-01-18,143.44,145.585,143.35,144.99,18876800,1.4697,18015715.0
2024-01-19,146.305,148.04,145.8,147.97,27170900,2.0553,18341210.0
2024-01-22,148.71,150.015,147.58,147.71,21829200,-0.1757,17757305.0
2024-01-23,147.72,148.86,147.19,148.68,14113600,0.6567,17557910.0
2024-01-24,150.29,151.57,149.84,150.35,19245000,1.1232,17595425.0
2024-01-25,151.74,154.76,151.22,153.64,21495100,2.1882,18111675.0
2024-01-26,152.87,154.11,152.8,153.79,19494500,0.0976,18221980.0
2024-01-29,153.64,155.2,152.92,154.84,20909300,0.6828,18657820.0
2024-01-30,154.01,155.04,152.775,153.05,26578900,-1.156,19243130.0
2024-01-31,145.39,145.59,141.55,141.8,43908600,-7.3505,20434965.0
2024-02-01,143.69,144.62,142.26,142.71,25526900,0.6418,20762595.0
2024-02-02,140.89,143.88,138.17,143.54,42116900,0.5816,21955775.0
2024-02-05,144.04,146.67,143.91,144.93,29254400,0.9684,22646835.0
2024-02-06,145.96,146.74,144.52,145.41,21517700,0.3312,22840455.0
2024-02-07,146.12,147.0,145.21,146.68,21436100,0.8734,22933275.0
2024-02-08,146.97,147.61,146.42,147.22,18241300,0.3682,23013245.0
2024-02-09,147.95,150.695,147.43,150.22,21877700,2.0378,23233575.0
2024-02-12,149.54,150.59,148.56,148.73,17236100,-0.9919,23395620.0
2024-02-13,146.07,148.04,145.11,146.37,18138500,-1.5868,23342600.0
2024-02-14,147.37,147.83,145.555,147.14,16651800,0.5261,23280965.0
2024-02-15,144.46,144.76,141.88,143.94,26724300,-2.1748,23673340.0
2024-02-16,144.21,144.48,141.52,141.76,21849700,-1.5145,23407280.0
2024-02-20,140.94,143.329,140.8,142.2,18625600,0.3104,23247100.0
2024-02-21,142.64,143.98,141.91,143.84,16499600,1.1533,23366400.0
2024-02-22,146.12,146.2,144.01,145.32,23024700,1.0289,23555385.0
2024-02-23,144.97,145.955,144.79,145.29,14519400,-0.0207,23206600.0
2024-02-26,143.45,143.84,138.74,138.75,33513000,-4.5013,23907525.0
2024-02-27,139.41,140.49,138.5,140.1,22364000,0.973,23980260.0
2024-02-28,139.1,139.28,136.64,137.43,30628700,-1.9058,24182750.0
2024-02-29,138.35,139.95,137.57,139.78,35485000,1.71,23761570.0
2024-03-01,139.61,140.0,137.975,138.08,28522000,-1.2162,23911325.0
2024-03-04,136.54,136.63,132.86,134.2,43571500,-2.81,23984055.0
2024-03-05,132.74,134.02,131.55,133.78,28447600,-0.313,23943715.0
2024-03-06,134.24,134.74,131.95,132.56,23175200,-0.9119,24026590.0
2024-03-07,133.89,135.82,132.66,135.24,24107300,2.0217,24160150.0
2024-03-08,135.035,138.985,134.8,136.29,26472400,0.7764,24571705.0
2024-03-11,137.07,139.98,137.07,138.94,22536400,1.9444,24604640.0
2024-03-12,138.25,140.28,138.21,139.62,19019700,0.4894,24693820.0
2024-03-13,140.06,142.19,140.01,140.77,19637000,0.8237,24768745.0
2024-03-14,142.3,144.73,141.485,144.34,36117900,2.536,25742050.0
2024-03-15,143.41,144.34,141.13,142.17,41025900,-1.5034,26457130.0
2024-03-18,149.37,152.93,148.14,148.48,47676700,4.4383,27748480.0
2024-03-19,148.98,149.62,147.01,147.92,17748400,-0.3772,27704620.0
2024-03-20,148.79,149.76,147.665,149.68,17730000,1.1898,27766140.0
2024-03-21,150.32,151.305,148.01,148.74,19843900,-0.628,27607100.0
2024-03-22,150.24,152.56,150.09,151.77,19226300,2.0371,27842445.0
2024-03-25,150.95,151.456,148.8,151.15,15114700,-0.4085,26922530.0
2024-03-26,151.24,153.2,151.03,151.7,19312700,0.3639,26769965.0
2024-03-27,152.145,152.69,150.13,151.94,16622000,0.1582,26069630.0
2024-03-28,152.0,152.67,151.33,152.26,21105600,0.2106,25350660.0
2024-04-01,151.83,157.0,151.65,156.5,24469800,2.7847,25148050.0
2024-04-02,154.75,155.99,153.46,155.87,17598100,-0.4026,23849380.0
2024-04-03,154.92,156.55,154.132,156.37,17266200,0.3208,23290310.0
2024-04-04,155.08,156.18,151.88,151.94,24184800,-2.833,23340790.0
2024-04-05,151.68,154.84,151.081,153.94,16289800,1.3163,22949915.0
2024-04-08,154.015,156.655,153.99,156.14,16641500,1.4291,22458370.0
2024-04-09,157.35,159.89,156.64,158.14,21538100,1.2809,22408455.0
2024-04-10,157.88,158.16,156.2,157.66,16339200,-0.3035,22274430.0
2024-04-11,158.34,161.12,157.93,160.79,17841700,1.9853,22184665.0
2024-04-12,159.405,161.7,158.6,159.19,16968200,-0.9951,21227180.0
2024-04-15,160.28,160.83,156.15,156.33,21140900,-1.7966,20232930.0
2024-04-16,155.64,157.23,155.05,156.0,15413200,-0.2111,18619755.0
2024-04-17,157.19,158.681,156.135,156.88,16237800,0.5641,18544225.0
2024-04-18,156.925,158.485,156.21,157.46,14016100,0.3697,18358530.0
2024-04-19,157.75,157.99,153.91,155.72,20063900,-1.105,18369530.0
2024-04-22,156.01,159.185,155.66,157.95,17243900,1.4321,18270410.0
2024-04-23,158.59,160.48,157.965,159.92,16115400,1.2472,18320445.0
2024-04-24,159.09,161.39,158.82,161.1,19485700,0.7379,18329095.0
2024-04-25,153.36,158.28,152.768,157.95,36197800,-1.9553,19307885.0
2024-04-26,175.99,176.42,171.4,173.69,56500800,9.9652,21077645.0
2024-04-29,170.77,171.38,167.06,167.9,35914600,-3.3335,21649885.0
2024-04-30,167.38,169.87,164.5,164.64,29420800,-1.9416,22241020.0
2024-05-01,166.18,168.81,164.9,165.57,25223200,0.5649,22638870.0
2024-05-02,166.67,168.53,165.69,168.46,17041100,1.7455,22281685.0
2024-05-03,169.5267,169.85,164.98,168.99,22716443,0.3146,22603017.15
