date,open,high,low,close,volume,change_percent,avg_vol_20d
2004-09-28,60.7107,63.7638,60.1652,63.4935,16929054,7.2721,8656954.3
2004-09-29,63.4134,67.5776,63.1782,65.6056,30516453,3.3265,9936883.1
2004-09-30,65.015,66.2162,64.5646,64.8649,13758028,-1.1291,10167871.85
2004-10-01,65.4655,67.1872,64.5145,66.3564,15124860,2.2994,10168181.55
2004-10-04,67.6927,68.5035,67.0821,67.5976,13022764,1.8706,10561697.65
2004-10-05,67.3974,69.3343,66.1862,69.2543,14973212,2.4508,11017980.9
2004-10-06,68.8438,69.2943,68.0681,68.6086,13381405,-0.9323,11437770.7
2004-10-07,68.5285,70.01,68.3433,69.4945,14115071,1.2912,11940437.55
2004-10-08,69.4294,69.9099,68.5786,68.9339,11069519,-0.8066,12058968.9
2004-10-11,68.5686,69.4995,66.992,67.6977,10472117,-1.7934,12190367.35
2004-10-12,67.2873,68.8739,66.7668,68.7688,11665523,1.5821,12232195.5
2004-10-13,71.7317,71.8468,70.1101,70.5205,19766214,2.5473,12684852.4
2004-10-14,70.5756,71.2613,69.3494,71.0711,10442147,0.7807,12743643.55
2004-10-15,72.5375,72.8228,71.046,72.1271,13194792,1.4859,12929757.25
2004-10-18,71.6717,74.6747,70.6757,74.6547,14036350,3.5043,13100136.7
2004-10-19,75.3253,76.2763,73.7487,74.044,18109872,-0.8179,13644192.1
2004-10-20,74.0891,74.5696,69.8699,70.3153,22722655,-5.0358,14401264.3
2004-10-21,72.2723,75.1401,70.8809,74.7648,29149821,6.3279,15431972.55
2004-10-22,85.3554,90.1752,82.1221,86.3013,73710016,15.4304,18661300.0
2004-10-25,88.2883,97.3123,86.3614,93.7938,65462872,8.6818,21581137.25
2004-10-26,93.2633,96.4164,90.0901,90.991,44569586,-2.9883,22963163.85
2004-10-27,91.4515,94.8549,90.976,93.0781,26686287,2.2937,22771655.55
2004-10-28,93.4334,97.2923,92.8929,96.7468,29663906,3.9415,23566949.45
2004-10-29,99.5445,100.0751,95.3954,95.4154,42282675,-1.3761,24924840.2
2004-11-01,96.8719,98.9339,95.7307,98.1131,24425350,2.8273,25494969.5
2004-11-02,99.4895,99.7247,96.7668,97.5325,22669907,-0.5917,25879804.25
2004-11-03,99.1892,100.9009,95.4705,95.9309,27749623,-1.6421,26598215.15
2004-11-04,94.3143,95.2953,91.7668,92.4424,28790381,-3.6365,27331980.65
2004-11-05,91.0811,91.2412,84.3594,84.7598,39626534,-8.3108,28759831.4
2004-11-08,85.5506,87.8078,84.7848,86.3614,22361216,1.8896,29354286.35
2004-11-09,87.1371,87.6877,82.7177,84.4344,22106272,-2.2312,29876323.8
2004-11-10,85.4204,86.3463,83.2482,84.014,21266712,-0.4979,29951348.7
2004-11-11,84.6497,91.967,83.8689,91.6016,29941029,9.0313,30926292.8
2004-11-12,92.7077,94.995,88.7888,91.0911,33458708,-0.5573,31939488.6
2004-11-15,90.3153,94.2543,89.4645,92.5275,23779197,1.5769,32426630.95
2004-11-16,88.8388,89.8248,85.5005,86.3564,41792965,-6.6696,33610785.6
2004-11-17,84.5946,88.8388,84.5846,86.3363,36229534,-0.0232,34286129.55
2004-11-18,85.2302,87.2973,82.9479,83.8539,33225941,-2.8754,34489935.55
2004-11-19,84.6346,85.0751,83.3433,84.7848,17521061,1.1102,31680487.8
2004-11-22,82.3173,84.8348,80.7357,82.6326,24711664,-2.5384,29642927.4
2004-11-23,84.0691,85.5005,83.3333,83.8438,24801773,1.4658,28654536.75
2004-11-24,87.4975,88.6937,86.3413,87.4675,30531438,4.3219,28846794.3
2004-11-26,87.988,90.1051,87.7477,89.7848,12947240,2.6493,28010961.0
2004-11-29,90.2703,91.5666,88.8438,90.6156,21311867,0.9254,26962420.6
2004-11-30,90.4454,91.5916,90.2152,91.0811,15384600,0.5137,26510383.1
2004-12-01,91.0661,91.3413,89.8649,90.0701,15712472,-1.11,26162511.35
2004-12-02,90.04,90.8458,89.3644,89.7898,12509278,-0.3112,25400494.1
2004-12-03,90.0651,90.6206,88.8889,90.2903,11726662,0.5574,24547308.15
2004-12-06,89.6547,90.4404,88.0981,88.2332,12495492,-2.2783,23190756.05
2004-12-07,88.0881,88.1882,85.3604,85.8008,13728058,-2.7568,22759098.15
2004-12-08,85.2603,86.9269,84.4494,85.0751,15068516,-0.8458,22407210.35
2004-12-09,85.2102,86.8368,84.3193,86.8018,15292692,2.0297,22108509.35
2004-12-10,86.8018,87.5275,85.7307,85.9109,8625766,-1.0264,21042746.2
2004-12-13,86.1712,86.6767,84.8098,85.3103,9627563,-0.6991,19851188.95
2004-12-14,85.5856,89.4995,84.8849,89.4344,22154623,4.8343,19769960.25
2004-12-15,89.0841,90.4354,88.4184,89.98,22919058,0.61,18826264.9
2004-12-16,88.5636,90.3353,88.0631,88.3233,17128454,-1.8411,17871210.9
2004-12-17,88.4685,90.3403,88.3634,90.1301,14757628,2.0457,16947795.25
2004-12-20,91.0911,94.3243,91.026,92.6026,19649331,2.7432,17054208.75
2004-12-21,93.2482,94.034,91.7918,91.967,11021567,-0.6864,16369703.9
2004-12-22,92.042,93.5185,91.5966,93.2432,7806186,1.3878,15519924.55
2004-12-23,93.8188,94.3944,93.0931,94.044,7221971,0.8588,14354451.2
2004-12-27,94.6697,96.7468,94.6446,96.051,12195992,2.1341,14316888.8
2004-12-28,96.1512,96.8719,95.6006,96.4765,8283308,0.4429,13665460.85
2004-12-29,95.986,96.8569,95.986,96.5465,5350844,0.0726,13163773.05
2004-12-30,96.5816,99.2142,96.021,98.8989,11796791,2.4365,12967989.0
2004-12-31,99.7147,100.04,96.3764,96.4915,15321663,-2.4342,13108608.25
2005-01-03,98.7988,101.9219,97.8278,101.4565,31656712,5.1455,14105110.75
2005-01-04,100.8008,101.5666,96.8368,97.3473,27484288,-4.0501,14854550.55
2005-01-05,96.8218,98.5485,96.2112,96.8519,16456727,-0.509,14990984.0
2005-01-06,97.6376,98.048,93.954,94.3694,20753426,-2.5632,15275229.5
2005-01-07,95.4154,97.2222,94.4845,97.022,19306474,2.8109,15475918.6
2005-01-10,97.3473,99.1491,96.011,97.6276,15064121,0.6242,15797836.35
2005-01-11,97.9079,98.954,96.6867,96.8669,13903483,-0.7792,16011632.35
2005-01-12,97.2623,98.0631,95.3453,97.7878,16339244,0.9507,15720863.4
2005-01-13,97.7878,98.7938,97.1221,97.7628,13685101,-0.0256,15259165.55
2005-01-14,98.0981,100.1051,97.1622,100.0851,19261319,2.3755,15365808.8
2005-01-18,100.5856,102.6126,99.4294,102.0521,26318855,1.9653,15943870.15
2005-01-19,102.4274,102.7528,98.4535,98.7487,22492885,-3.2369,16086047.85
2005-01-20,96.3463,98.2232,96.0961,97.0571,17985197,-1.7131,16434229.35
2005-01-21,97.3674,97.7778,94.1542,94.2342,18498283,-2.9084,16968834.2
2005-01-24,94.4394,94.7598,90.2503,90.4504,28017355,-4.0153,18008603.4
2005-01-25,91.0611,91.2112,88.2332,88.6487,21297082,-1.992,18463657.9
2005-01-26,89.7247,94.7998,89.6647,94.7147,24591184,6.8428,19279051.7
2005-01-27,94.4745,94.5245,92.6927,94.1341,13241545,-0.613,19673586.75
2005-01-28,95.1051,97.4474,93.2633,95.2653,24391984,1.2016,20303346.4
2005-01-31,96.9419,98.2783,95.956,97.9079,19174207,2.774,20495973.6
2005-02-01,97.2873,98.4284,95.4104,96.046,37640322,-1.9016,20795154.1
2005-02-02,107.8829,108.5085,101.9319,103.0831,65533001,7.3267,22697589.75
2005-02-03,103.0981,106.7918,103.008,105.5355,25950224,2.3791,23172264.6
2005-02-04,103.3383,103.979,101.4014,102.2823,29608961,-3.0826,23615041.35
2005-02-07,102.7327,103.3033,97.8529,98.1131,25894879,-4.0761,23944461.6
2005-02-08,98.5786,100.1101,97.3624,99.4194,22937040,1.3314,24338107.55
2005-02-09,100.4805,100.9009,94.8248,95.8859,34308657,-3.5542,25358366.25
2005-02-10,96.0811,96.2012,92.7177,94.0841,37927435,-1.8791,26437775.8
